"Date	Nifty bank	Canara bank"
"3/9/2017	20721.3	286.0"
"3/10/2017	20727.6	284.0"
"3/14/2017	21102.7	284.8"
"3/15/2017	21157.9	289.5"
"3/16/2017	21249.9	295.6"
"3/17/2017	21175.1	292.9"
"3/20/2017	21110.3	294.3"
"3/21/2017	21019.0	288.5"
"3/22/2017	20781.3	282.3"
"3/23/2017	20895.5	283.0"
"3/24/2017	21122.6	293.3"
"3/27/2017	21056.9	296.8"
"3/28/2017	21225.4	297.2"
"3/29/2017	21391.2	302.1"
"3/30/2017	21620.7	303.1"
"3/31/2017	21444.2	302.8"
"4/3/2017	21547.8	304.5"
"4/5/2017	21652.7	310.5"
"4/6/2017	21622.9	310.0"
"4/7/2017	21431.2	304.8"
"4/10/2017	21520.2	309.5"
"4/11/2017	21736.2	316.0"
"4/12/2017	21666.8	312.3"
"4/13/2017	21686.6	314.5"
"4/17/2017	21647.6	310.2"
"4/18/2017	21671.8	312.8"
"4/19/2017	21556.3	317.6"
"4/20/2017	21491.4	325.1"
"4/21/2017	21551.4	323.1"
"4/24/2017	21857.4	328.8"
"4/25/2017	22054.7	331.6"
"4/26/2017	22242.8	330.0"
"4/27/2017	22326.3	329.3"
"4/28/2017	22358.3	357.5"
"5/2/2017	22341.3	367.6"
"5/3/2017	22307.3	367.1"
"5/4/2017	22720.1	388.1"
"5/5/2017	22604.9	394.5"
"5/8/2017	22767.3	395.0"
"5/9/2017	22707.3	373.6"
"5/10/2017	22830.3	368.5"
"5/11/2017	22818.4	371.1"
"5/12/2017	22671.7	366.0"
"5/15/2017	22821.5	364.3"
"5/16/2017	22928.6	373.1"
"5/17/2017	22935.9	374.0"
"5/18/2017	22698.6	368.3"
"5/19/2017	22769.8	367.6"
"5/22/2017	22652.8	361.7"
"5/23/2017	22582.8	357.4"
"5/24/2017	22536.3	353.1"
"5/25/2017	23190.8	358.6"
"5/26/2017	23362.2	360.0"
"5/29/2017	23182.8	350.6"
"5/30/2017	23307.3	355.7"
"5/31/2017	23424.8	350.9"
"6/1/2017	23310.2	352.7"
"6/2/2017	23375.9	360.0"
"6/5/2017	23459.7	362.6"
"6/6/2017	23416.3	358.5"
"6/7/2017	23567.7	362.7"
